iter	Passed	Remaining
0	5	1535
1	9	1470
2	14	1404
3	18	1405
4	23	1376
5	27	1361
6	32	1358
7	36	1348
8	41	1342
9	45	1330
10	50	1320
11	54	1311
12	59	1306
13	63	1302
14	68	1302
15	73	1299
16	77	1294
17	82	1298
18	88	1303
19	93	1305
20	98	1306
21	103	1303
22	108	1302
23	112	1298
24	117	1296
25	122	1295
26	128	1296
27	133	1295
28	138	1296
29	144	1296
30	149	1293
31	153	1288
32	158	1281
33	163	1276
34	168	1272
35	172	1267
36	177	1264
37	182	1260
38	187	1255
39	192	1250
40	197	1245
41	202	1241
42	206	1237
43	211	1233
44	216	1228
45	221	1224
46	226	1221
47	231	1217
48	236	1213
49	241	1208
50	246	1203
51	251	1198
52	255	1192
53	260	1187
54	265	1181
55	270	1177
56	274	1172
57	279	1166
58	284	1161
59	288	1155
60	293	1151
61	298	1146
62	303	1139
63	307	1134
64	312	1129
65	317	1124
66	321	1118
67	326	1113
68	330	1107
69	335	1103
70	340	1098
71	345	1093
72	350	1088
73	354	1083
74	359	1078
75	364	1073
76	368	1066
77	373	1061
78	377	1057
79	382	1052
80	387	1047
81	392	1042
82	396	1036
83	401	1032
84	406	1027
85	411	1024
86	416	1019
87	420	1014
88	425	1008
89	430	1003
90	435	999
91	439	994
92	444	989
93	449	985
94	454	980
95	458	975
96	463	970
97	468	965
98	473	960
99	477	955
100	482	950
101	487	946
102	492	941
103	497	937
104	501	932
105	506	927
106	511	922
107	515	917
108	520	912
109	525	907
110	529	901
111	533	896
112	538	891
113	543	886
114	547	881
115	552	876
116	557	871
117	562	866
118	566	861
119	571	856
120	575	851
121	580	846
122	585	841
123	589	837
124	594	831
125	598	826
126	603	822
127	608	817
128	612	812
129	617	807
130	622	802
131	627	798
132	631	793
133	636	788
134	641	783
135	645	778
136	650	773
137	654	768
138	659	763
139	664	759
140	668	754
141	673	749
142	678	744
143	682	739
144	687	734
145	692	730
146	696	725
147	701	720
148	706	715
149	710	710
150	715	705
151	719	700
152	724	696
153	729	691
154	733	686
155	738	681
156	743	676
157	748	672
158	752	667
159	757	662
160	761	657
161	766	652
162	770	647
163	776	643
164	780	638
165	785	633
166	789	628
167	794	624
168	799	619
169	803	614
170	808	609
171	812	604
172	817	600
173	822	595
174	826	590
175	831	585
176	835	580
177	840	576
178	844	571
179	849	566
180	854	561
181	858	556
182	863	552
183	867	547
184	872	542
185	877	537
186	881	532
187	886	528
188	891	523
189	895	518
190	899	513
191	904	508
192	908	503
193	913	499
194	918	494
195	922	489
196	927	485
197	932	480
198	936	475
199	941	470
200	945	465
201	950	461
202	954	456
203	959	451
204	964	446
205	968	442
206	973	437
207	977	432
208	982	427
209	987	423
210	991	418
211	996	413
212	1000	408
213	1005	403
214	1009	399
215	1014	394
216	1019	389
217	1023	385
218	1028	380
219	1033	375
220	1038	371
221	1043	366
222	1047	361
223	1052	357
224	1057	352
225	1061	347
226	1066	342
227	1071	338
228	1076	333
229	1081	329
230	1085	324
231	1090	319
232	1095	315
233	1100	310
234	1105	305
235	1109	300
236	1114	296
237	1118	291
238	1123	286
239	1127	281
240	1132	277
241	1137	272
242	1141	267
243	1146	263
244	1151	258
245	1155	253
246	1160	248
247	1164	244
248	1169	239
249	1174	234
250	1178	230
251	1182	225
252	1187	220
253	1191	215
254	1196	211
255	1201	206
256	1205	201
257	1210	197
258	1215	192
259	1219	187
260	1224	182
261	1228	178
262	1233	173
263	1237	168
264	1242	164
265	1246	159
266	1251	154
267	1255	149
268	1260	145
269	1265	140
270	1269	135
271	1274	131
272	1279	126
273	1283	121
274	1288	117
275	1292	112
276	1297	107
277	1302	103
278	1306	98
279	1311	93
280	1315	88
281	1320	84
282	1325	79
283	1330	74
284	1334	70
285	1339	65
286	1344	60
287	1348	56
288	1353	51
289	1358	46
290	1362	42
291	1367	37
292	1372	32
293	1376	28
294	1381	23
295	1386	18
296	1390	14
297	1395	9
298	1399	4
299	1404	0
